"count","gender","status","marital_status","education_level","card_category"
4,"F","Attrited Customer","Divorced","Post-Graduate","Blue"
1,"F","Existing Customer","Unknown","Unknown","Gold"
20,"M","Existing Customer","Single","Unknown","Silver"
1,"F","Existing Customer","Unknown","High School","Silver"
16,"F","Existing Customer","Unknown","Post-Graduate","Blue"
7,"F","Existing Customer","Unknown","Doctorate","Blue"
1,"F","Attrited Customer","Married","Doctorate","Platinum"
262,"M","Existing Customer","Married","Unknown","Blue"
43,"M","Attrited Customer","Single","Unknown","Blue"
18,"F","Existing Customer","Single","High School","Silver"
10,"M","Attrited Customer","Unknown","Graduate","Blue"
207,"M","Existing Customer","Single","Uneducated","Blue"
1,"F","Attrited Customer","Unknown","High School","Silver"
4,"M","Existing Customer","Divorced","Unknown","Silver"
1,"M","Existing Customer","Unknown","Unknown","Platinum"
1,"M","Existing Customer","Unknown","Unknown","Gold"
5,"M","Attrited Customer","Single","Uneducated","Silver"
1,"F","Existing Customer","Married","Doctorate","Gold"
2,"F","Attrited Customer","Single","High School","Silver"
15,"M","Attrited Customer","Single","Post-Graduate","Blue"
2,"F","Attrited Customer","Married","High School","Silver"
18,"F","Attrited Customer","Married","Post-Graduate","Blue"
3,"F","Attrited Customer","Single","Unknown","Silver"
13,"M","Attrited Customer","Married","Doctorate","Blue"
28,"F","Attrited Customer","Single","College","Blue"
1,"M","Attrited Customer","Divorced","High School","Silver"
1,"F","Existing Customer","Divorced","College","Gold"
15,"M","Attrited Customer","Married","Post-Graduate","Blue"
1,"M","Attrited Customer","Single","High School","Gold"
5,"M","Attrited Customer","Single","High School","Silver"
2,"M","Existing Customer","Divorced","Uneducated","Gold"
1,"M","Attrited Customer","Unknown","Post-Graduate","Gold"
3,"M","Existing Customer","Unknown","Unknown","Silver"
2,"M","Attrited Customer","Unknown","Doctorate","Blue"
6,"F","Existing Customer","Divorced","Graduate","Silver"
1,"M","Existing Customer","Divorced","College","Silver"
14,"M","Existing Customer","Divorced","Post-Graduate","Blue"
5,"F","Attrited Customer","Divorced","Doctorate","Blue"
5,"M","Existing Customer","Single","Doctorate","Silver"
7,"F","Existing Customer","Single","Graduate","Gold"
8,"F","Existing Customer","Divorced","Uneducated","Silver"
55,"F","Existing Customer","Unknown","High School","Blue"
70,"M","Attrited Customer","Single","Graduate","Blue"
